hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,DistanceFromHome,Education,EmployeeCount,JobLevel,MonthlyIncome,NumCompaniesWorked,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Attrition_Yes
5.839499107541111,6,3,3,3.0,3.0,4.0,40,1,1,1,1,22130,1.0,8,0,21.0,4,20,4,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
7.204763498438056,10,3,3,3.0,4.0,3.0,42,28,4,1,2,26450,1.0,8,0,10.0,5,10,2,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
6.272836903168056,12,2,3,2.0,1.0,3.0,38,2,4,1,1,107250,3.0,8,0,11.0,5,7,1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6.038788487282222,13,4,3,3.0,2.0,3.0,40,10,4,1,2,65670,1.0,8,1,8.0,3,8,3,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
6.726166889781111,17,3,3,2.0,2.0,3.0,36,3,3,1,2,20180,1.0,8,0,6.0,5,6,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
7.877561356537222,4,3,3,4.0,1.0,3.0,32,10,1,1,1,23420,4.0,8,2,9.0,2,6,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
7.235296742525556,9,1,3,4.0,2.0,3.0,33,4,3,1,1,33060,1.0,8,3,8.0,6,8,1,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
5.8017838018738885,20,2,3,3.0,2.0,1.0,39,2,4,1,4,138720,9.0,8,3,12.0,3,8,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6.870745203034167,14,2,3,1.0,4.0,3.0,31,8,5,1,5,131200,1.0,8,2,13.0,6,12,5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
7.520240963855278,15,3,3,2.0,4.0,3.0,53,24,3,1,4,133200,3.0,8,0,11.0,2,4,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
